number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_subsample,state
24,0.40356281798029636,2026-05-08 16:56:11.585133,2026-05-08 16:56:24.194939,0 days 00:00:12.609806,1.1331982417333179e-07,0.8442263207018257,0.020650406781564747,0.6268315442450326,0.29854219462943765,11,13,0.7389767697846488,COMPLETE
25,0.4802234113181184,2026-05-08 16:56:24.194939,2026-05-08 16:56:33.603932,0 days 00:00:09.408993,1.4927534270229525e-06,0.9341226005411025,0.013023430332069008,1.7011683398154447,0.7918072041256978,11,10,0.8338679708301434,COMPLETE
26,0.3816050159824667,2026-05-08 16:56:33.603932,2026-05-08 16:56:44.071084,0 days 00:00:10.467152,7.217025907486723e-08,0.8221421515494353,0.0247419848977737,0.5321571987082652,0.1814960885556651,10,7,0.6648082023209833,COMPLETE
27,0.39507148449199675,2026-05-08 16:56:44.071084,2026-05-08 16:56:53.888287,0 days 00:00:09.817203,7.284938278919679e-08,0.8189784987884087,0.02222969292036264,1.2025026199221687,0.37973469271290283,11,4,0.6848820830481034,COMPLETE
28,0.39447846723884555,2026-05-08 16:56:53.888287,2026-05-08 16:57:02.076643,0 days 00:00:08.188356,4.3763228991774645e-08,0.7407380163299785,0.04283165059158023,0.48963173739529664,0.177239092333548,10,7,0.9293335954633735,COMPLETE
29,0.481645035527006,2026-05-08 16:57:02.076643,2026-05-08 16:57:12.131563,0 days 00:00:10.054920,1.0256797108914848e-08,0.7513629896093258,0.012809554698250718,2.164095595738118,0.7046945885936866,12,5,0.7538600476668029,COMPLETE
30,0.48074532785325735,2026-05-08 16:57:12.131563,2026-05-08 16:57:21.581620,0 days 00:00:09.450057,2.760308607697795e-07,0.7813524921473867,0.015406936164577036,2.5488165123815434,0.2647345433474154,11,7,0.5842376335366724,COMPLETE
31,0.3903217793746564,2026-05-08 16:57:21.581620,2026-05-08 16:57:32.421523,0 days 00:00:10.839903,5.1248198459566106e-06,0.9103786438653598,0.02684019786935465,0.46373698534905333,0.1669655066596611,9,9,0.6534789175174172,COMPLETE
32,0.3864049306734632,2026-05-08 16:57:32.423527,2026-05-08 16:57:43.083118,0 days 00:00:10.659591,4.17669064055e-06,0.9154657348504526,0.02404256291725626,0.40250602190875756,0.15401950996809438,10,9,0.6589790451461222,COMPLETE
33,0.4146346178586395,2026-05-08 16:57:43.083118,2026-05-08 16:57:53.529704,0 days 00:00:10.446586,5.154445954425029e-07,0.9441038946167383,0.023308473244785854,0.9765106202273619,0.16378060149370655,10,11,0.7693586118121487,COMPLETE
34,0.38190844218886755,2026-05-08 16:57:53.529704,2026-05-08 16:58:07.904748,0 days 00:00:14.375044,6.833630724083755e-07,0.8454689610721974,0.017524242150592322,0.3911249056655093,2.7204692297880375,8,7,0.7168994545841612,COMPLETE
